Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","CALPADS Fall 1 
Certification Status"
2018-2019,1,10017,112607,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,County Office of Education (COE),High Schools (Public),Traditional,N/A,Yes,811,Directly funded,Y,9,12,385,262,68.10%,306,79.50%,370,249,67.30%,291,78.60%,Y
2018-2019,1,10017,123968,Alameda,Alameda County Office of Education,Community School for Creative Education,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Yes,1284,Directly funded,Y,K,8,241,118,49.00%,120,49.80%,224,113,50.40%,115,51.30%,Y
2018-2019,1,10017,124172,Alameda,Alameda County Office of Education,Yu Ming Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Yes,1296,Directly funded,Y,K,8,445,58,13.00%,64,14.40%,445,58,13.00%,64,14.40%,Y
2018-2019,1,10017,125567,Alameda,Alameda County Office of Education,Urban Montessori Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Yes,1383,Directly funded,Y,K,8,432,113,26.20%,131,30.30%,418,111,26.60%,129,30.90%,Y
2018-2019,1,10017,130401,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,County Office of Education (COE),Juvenile Court Schools,Juvenile Court School,N/A,No ,N/A,N/A,N,K,12,53,53,100.00%,53,100.00%,50,50,100.00%,50,100.00%,Y
2018-2019,1,10017,130419,Alameda,Alameda County Office of Education,Alameda County Community,County Office of Education (COE),County Community,County Community School,N/A,No ,N/A,N/A,N,K,12,133,106,79.70%,114,85.70%,110,86,78.20%,93,84.50%,Y
2018-2019,1,10017,131581,Alameda,Alameda County Office of Education,Oakland Unity Middle,County Office of Education (COE),Intermediate/Middle Schools (Public),Traditional,N/A,Yes,1707,Directly funded,Y,6,8,184,128,69.60%,141,76.60%,184,128,69.60%,141,76.60%,Y
2018-2019,1,10017,136101,Alameda,Alameda County Office of Education,Connecting Waters Charter - East Bay,County Office of Education (COE),K-12 Schools (Public),Traditional,N/A,Yes,1881,Directly funded,Y,K,12,314,41,13.10%,41,13.10%,306,39,12.70%,39,12.70%,Y
2018-2019,1,10017,136226,Alameda,Alameda County Office of Education,Opportunity Academy,County Office of Education (COE),County Community,County Community School,N/A,Yes,1888,Locally funded,N,10,12,71,34,47.90%,34,47.90%,16,8,50.00%,8,50.00%,Y
2018-2019,1,10017,137448,Alameda,Alameda County Office of Education,Aurum Preparatory Academy,County Office of Education (COE),Junior High Schools (Public),Traditional,N/A,Yes,1908,Directly funded,Y,6,8,91,75,82.40%,81,89.00%,91,75,82.40%,81,89.00%,Y
2018-2019,1,10017,6001788,Alameda,Alameda County Office of Education,Cox Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Yes,740,Directly funded,Y,P,5,610,512,83.90%,548,89.80%,596,501,84.10%,535,89.80%,Y
2018-2019,1,10017,6002000,Alameda,Alameda County Office of Education,Lazear Charter Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Yes,1464,Directly funded,Y,K,8,476,357,75.00%,425,89.30%,465,350,75.30%,416,89.50%,Y
2018-2019,1,31609,131755,Alameda,California School for the Blind (State Special Schl),California School for the Blind,State Special Schools,State Special Schools,State Special School,N/A,No ,N/A,N/A,N,K,Adult,66,66,100.00%,66,100.00%,42,42,100.00%,42,100.00%,Y
2018-2019,1,31617,131763,Alameda,California School for the Deaf-Fremont (State Special Schl),California School for the Deaf-Fremont,State Special Schools,State Special Schools,State Special School,N/A,No ,N/A,N/A,N,P,12,372,372,100.00%,372,100.00%,311,311,100.00%,311,100.00%,Y
2018-2019,1,61119,1,Alameda,Alameda Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33,5,15.20%,5,15.20%,28,3,10.70%,3,10.70%,Y
2018-2019,1,61119,106401,Alameda,Alameda Unified,Alameda Science and Technology Institute,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,9,12,192,47,24.50%,55,28.60%,191,46,24.10%,54,28.30%,Y
2018-2019,1,61119,111765,Alameda,Alameda Unified,Ruby Bridges Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,484,279,57.60%,305,63.00%,470,274,58.30%,300,63.80%,Y
2018-2019,1,61119,119222,Alameda,Alameda Unified,Nea Community Learning Center,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,1066,Directly funded,Y,K,12,579,171,29.50%,203,35.10%,573,168,29.30%,200,34.90%,Y
2018-2019,1,61119,122085,Alameda,Alameda Unified,The Academy of Alameda,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,Yes,1181,Directly funded,Y,6,8,494,191,38.70%,236,47.80%,494,191,38.70%,236,47.80%,Y
2018-2019,1,61119,126656,Alameda,Alameda Unified,Maya Lin,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,5,427,89,20.80%,98,23.00%,427,89,20.80%,98,23.00%,Y
2018-2019,1,61119,130229,Alameda,Alameda Unified,Alameda High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,767",346,19.60%,371,21.00%,"1,696",321,18.90%,345,20.30%,Y
2018-2019,1,61119,130609,Alameda,Alameda Unified,Alameda Community Learning Center,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,352,Directly funded,Y,6,12,351,90,25.60%,93,26.50%,348,88,25.30%,91,26.10%,Y
2018-2019,1,61119,130625,Alameda,Alameda Unified,Alternatives in Action,Unified School District,High Schools (Public),Traditional,N/A,Yes,398,Directly funded,Y,9,12,202,182,90.10%,191,94.60%,178,160,89.90%,168,94.40%,Y
2018-2019,1,61119,131805,Alameda,Alameda Unified,The Academy of Alameda Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1718,Directly funded,Y,K,5,251,87,34.70%,114,45.40%,249,87,34.90%,114,45.80%,Y
2018-2019,1,61119,132142,Alameda,Alameda Unified,Encinal Junior/Senior High,Unified School District,K-12 Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,12,"1,261",452,35.80%,498,39.50%,"1,234",436,35.30%,481,39.00%,Y
2018-2019,1,61119,134304,Alameda,Alameda Unified,Island High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,96,50,52.10%,52,54.20%,75,39,52.00%,41,54.70%,Y
2018-2019,1,61119,6090005,Alameda,Alameda Unified,Donald D. Lum Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,5,5,30,8,26.70%,8,26.70%,30,8,26.70%,8,26.70%,Y
2018-2019,1,61119,6090013,Alameda,Alameda Unified,Edison Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,469,54,11.50%,60,12.80%,469,54,11.50%,60,12.80%,Y
2018-2019,1,61119,6090021,Alameda,Alameda Unified,Frank Otis Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,640,87,13.60%,101,15.80%,640,87,13.60%,101,15.80%,Y
2018-2019,1,61119,6090039,Alameda,Alameda Unified,Franklin Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,335,62,18.50%,70,20.90%,335,62,18.50%,70,20.90%,Y
